,Name,X,Y,True Vertical Depth,Normalized TVD,Formation
0,10/4-1,628531.41,6394710.62,-23025.9,0.11216645982004338,-1.215790665784773
1,10/4-1,628531.41,6394710.62,-23010.9,0.1127482159478746,-1.1768685286262741
2,10/4-1,628531.47,6394710.62,-23037.9,0.11170105491777842,-1.1379463914677752
3,10/4-1,628531.5,6394710.61,-23061.9,0.11077024511324847,-1.0990242543092763
4,10/4-1,628531.27,6394713.59,-23910.88,0.07784362395283893,-1.0601021171507774
5,10/4-1,628531.33,6394714.02,-23942.88,0.07660254421346567,-1.0211799799922785
6,10/4-1,628531.27,6394713.59,-23904.88,0.07807632640397141,-0.9822578428337797
7,10/4-1,628533.63,6394712.98,-22212.93,0.1436964784362395,-0.9433357056752808
8,10/4-1,628533.63,6394712.98,-22229.93,0.14303715482469748,-0.9044135685167819
9,10/4-1,628531.25,6394710.99,-22576.9,0.12958035991312436,-0.865491431358283
10,10/4-1,628532.76,6394712.37,-22275.92,0.14125349053676706,-0.8265692941997841
11,10/4-1,628534.36,6394713.71,-22116.94,0.14741932981694078,-0.7876471570412853
12,10/4-1,628534.36,6394713.71,-22123.94,0.1471478436239529,-0.7487250198827864
13,10/4-1,628533.95,6394713.23,-22172.93,0.14524782811045608,-0.7098028827242875
14,10/4-1,628534.08,6394713.39,-22158.93,0.1457908004964319,-0.6708807455657886
15,10/4-1,628533.68,6394713.02,-22219.93,0.14342499224325161,-0.6319586084072897
16,10/4-1,628538.77,6394718.17,-21770.0,0.16087496121625813,-0.5930364712487909
17,10/4-1,628531.13,6394710.73,-23579.9,0.0906802668321439,-0.554114334090292
18,10/4-1,628531.27,6394713.17,-23883.88,0.07889078498293511,-0.5151921969317931
19,10/4-1,628531.03,6394710.74,-23479.9,0.09455864101768532,-0.47627005977329423
20,10/4-1,628531.13,6394710.73,-23562.9,0.09133959044368595,-0.4373479226147953
21,10/4-1,628531.29,6394712.73,-23844.89,0.08040296307787778,-0.3984257854562965
22,10/4-1,628537.43,6394716.47,-21870.97,0.15695896680111693,-0.3595036482977976
23,10/5-1,654877.53,6385171.15,-22191.0,0.14454700589512876,-0.32058151113929867
24,10/5-1,654877.53,6385171.15,-22328.0,0.13923363326093702,-0.2816593739807998
25,10/5-1,654877.53,6385171.15,-22330.0,0.1391560657772262,-0.24273723682230094
26,10/5-1,654877.53,6385171.15,-22358.0,0.13807012100527458,-0.20381509966380207
27,10/5-1,654877.53,6385171.15,-21845.0,0.15796618057710207,-1.215790665784773
28,10/5-1,654877.53,6385171.15,-21851.0,0.1577334781259696,-1.1768685286262741
29,10/5-1,654877.53,6385171.15,-21887.0,0.15633726341917467,-1.1379463914677752
30,10/5-1,654877.53,6385171.15,-21937.0,0.15439807632640398,-1.0990242543092763
31,10/5-1,654877.53,6385171.15,-22283.0,0.14097890164443067,-1.0601021171507774
32,10/5-1,654877.53,6385171.15,-22300.0,0.1403195780328886,-1.0211799799922785
33,10/5-1,654877.53,6385171.15,-22272.0,0.1414055228048402,-0.9822578428337797
34,10/5-1,654877.53,6385171.15,-21143.0,0.18519236735960284,-0.9433357056752808
35,10/5-1,654877.53,6385171.15,-21815.0,0.1591296928327645,-0.1648929625053032
36,10/5-1,654877.53,6385171.15,-21136.0,0.18546385355259076,-0.9044135685167819
37,10/5-1,654877.53,6385171.15,-21854.0,0.15761712690040336,-0.1259708253468043
38,10/5-1,654877.53,6385171.15,-21341.0,0.17751318647223083,-0.865491431358283
39,10/5-1,654877.53,6385171.15,-21243.0,0.18131399317406144,-0.8265692941997841
