API Number,Well Number,Form Alias,Top MD
490252206600,2-22,0,902.35
490252206600,2-22,1,541.44
490252206600,2-22,2,488.36
490252206600,2-22,3,1005.26
490252206600,2-22,4,1070.76
490252206600,2-22,5,2444.14
490252206600,2-22,6,2676.71
490252206600,2-22,7,2901.43
490252206600,2-22,8,3142.11
490252206600,2-22,9,3279.07
490252206600,2-22,10,3558.31
490252206600,2-22,11,3596.87
490252206600,2-22,12,4047.64
490252206600,2-22,13,3789.68
490252206600,2-22,14,3797.66
490252206600,2-22,15,4437.25
490252206600,2-22,16,4517.03
490252206600,2-22,17,4576.87
490252206600,2-22,18,3398.87
490252206600,2-22,19,1676.22
490252206600,2-22,20,2221.19
490252206600,2-22,21,4285.4
490252206600,2-22,22,2323.82
490252167800,11-26,2,603.48
490252167800,11-26,0,1024.84
490252167800,11-26,4,1194.94
490252167800,11-26,19,1827.27
490252167800,11-26,5,2570.66
490252167800,11-26,6,2801.9
490252167800,11-26,8,3262.72
490252167800,11-26,10,3677.31
490252167800,11-26,13,3910.01
490252167800,11-26,12,4168.1
490252167800,11-26,16,4640.23
490252167800,11-26,1,655.8
490252167800,11-26,3,1132.27
490252167800,11-26,23,1422.02
490252167800,11-26,22,2444.77
490252167800,11-26,20,2342.43
490252167800,11-26,7,3019.63
490252167800,11-26,9,3402.07
490252167800,11-26,11,3715.32
490252167800,11-26,14,3916.93
490252167800,11-26,15,4561.51
490252167800,11-26,17,4675.35
490251022100,101-A-20,10,2626.64
490251022100,101-A-20,9,2237.94
490251022100,101-A-20,18,2446.59
490251022100,101-A-20,8,2210.4
490251040300,101-S-3,0,389.69
490251040300,101-S-3,3,482.58
490251040300,101-S-3,8,2628.12
490251040300,101-S-3,7,2387.7
490251040300,101-S-3,4,551.31
490251040300,101-S-3,1,12.74
490251022200,102-A-20,10,2673.21
490251022200,102-A-20,7,2008.98
490251022200,102-A-20,8,2256.31
490251022200,102-A-20,9,2367.83
490251022200,102-A-20,18,2496.32
490251059300,103-A-29,10,2822.7
490251059300,103-A-29,18,2642.85
490251059300,103-A-29,8,2439.38
490251059300,103-A-29,9,2532.58
490251059300,103-A-29,7,2180.35
490251021800,103-A-33,8,2440.08
490251021800,103-A-33,10,2811.71
490251021800,103-A-33,7,2192.9
490251021800,103-A-33,6,1967.53
490251021800,103-A-33,5,1735.39
490251021800,103-A-33,9,2449.45
490251021800,103-A-33,18,2641.18
490251021800,103-A-33,9,2588.73
490251021800,103-A-33,24,2451.89
490251021800,103-A-33,25,2460.26
490251021800,103-A-33,26,2552.36
490251021800,103-A-33,27,2567.71
490251137400,105-A-20,18,2489.59
490251137400,105-A-20,8,2257.29
490251137400,105-A-20,7,2013.7
490251137400,105-A-20,10,2654.81
490251137400,105-A-20,9,2280.59
490251137400,105-A-20,11,2691.52
490250959200,107-A-29,10,2740.33
490250959200,107-A-29,8,2350.5
490250959200,107-A-29,9,2446.18
490250959200,107-A-29,18,2558.82
490251043800,108-A-29,18,2589.57
490251043800,108-A-29,10,2758.13
490251044900,109-A-29,10,2739.43
490251044900,109-A-29,7,2109.54
490251044900,109-A-29,8,2361.09
490251044900,109-A-29,18,2579.68
490251044900,109-A-29,9,2466.91
490251044900,109-A-29,10,2749.69
490251044900,109-A-29,11,2780.92
490251073500,110-A-29,7,2116.4
490251073500,110-A-29,8,2371.86
490251073500,110-A-29,9,2481.9
490251059400,111-A-29,10,2848.88
490251059400,111-A-29,18,2672.21
490251059400,111-A-29,8,2461.73
490251059400,111-A-29,9,2573.38
490251059400,111-A-29,7,2205.49
490252264300,11-1-SX-2,1,154.23
490252264300,11-1-SX-2,2,106.85
490252264300,11-1-SX-2,0,500.01
490252264300,11-1-SX-2,3,595.19
490252264300,11-1-SX-2,4,660.9
490251115600,11-61-SX-11,0,399.08
490251115600,11-61-SX-11,4,562.52
490251115600,11-61-SX-11,3,491.66
490251115600,11-61-SX-11,1,53.92
490251038100,11-A-14,18,2892.6
490251038100,11-A-14,26,2809.7
490251038100,11-A-14,11,3144.75
490251038100,11-A-14,8,2650.03
490251038100,11-A-14,7,2409.86
490251038100,11-A-14,24,2735.93
490251038100,11-A-14,10,3069.93
490251038100,11-A-14,25,2758.71
490251038100,11-A-14,9,2848.75
490251038100,11-A-14,0,449.0
490251038100,11-A-14,3,532.75
490251038100,11-A-14,4,608.96
